User,Bot
How do I become a premium user?,"Premium membership offers exclusive benefits like free delivery and discounts. Go to the ""Premium Membership"" section in the app to subscribe."
What is the cancellation policy for chefs?,"Chefs can cancel an order only if they are unable to prepare the meal. In such cases, the user will be notified, and a full refund will be issued."
How do I update my payment method?,"Go to the ""Payment Methods"" section in your profile, add or update your payment details, and save the changes."
Can I gift a meal to someone?,"Yes, you can gift a meal by placing an order and entering the recipient's address during checkout."
How do I check my wallet balance?,"Go to the ""Chullah Wallet"" section in the app to view your current balance and transaction history."
What if my order is delayed?,"If your order is delayed, you will receive real-time updates. You can also contact the chef or our support team for assistance."
How do I log out of the app?,"Go to the ""Account Settings"" section and select ""Log Out."" You can log back in anytime using your credentials."
Can I order from another city?,"Currently, Chullah operates in specific cities. Check the app to see if your city is supported."
How do I change my phone number?,"Go to the ""Profile"" section, update your phone number, and verify it with the OTP sent to your new number."
What is the chef rating system?,"The chef rating system allows users to rate chefs based on their meals and service. This helps maintain quality and trust on the platform."
How do I unsubscribe from notifications?,"Go to the ""Notification Settings"" section in the app and toggle off the notifications you no longer wish to receive."
Can I order for someone else?,"Yes, you can place an order for someone else by entering their delivery address and contact details during checkout."
How do I check my rewards points?,"Go to the ""Rewards"" section in the app to view your points and redeem them for discounts or free meals."
What is the chef approval process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
How do I contact the admin?,"You can contact the admin through the ""Contact Us"" section in the app or email admin@chullah.com."
Can I order without creating an account?,"No, you need to create an account to place an order. This ensures a secure and personalized experience."
How do I change my email address?,"Go to the ""Profile"" section, update your email address, and verify it with the OTP sent to your new email."
What is the minimum order amount?,"The minimum order amount varies by chef. You'll see the minimum order requirement on the chef's profile."
How do I apply for a refund?,"Go to the ""My Orders"" section, select the order, and use the ""Request Refund"" option. Our support team will review your request."
Can I order from a specific chef again?,"Yes, you can view your past orders and reorder from the same chef by going to the ""My Orders"" section."
How do I check my subscription status?,"Go to the ""Premium Membership"" section in the app to view your subscription status and renewal date."
What is the chef cancellation policy?,"Chefs can cancel an order only if they are unable to prepare the meal. In such cases, the user will be notified, and a full refund will be issued."
How do I update my dietary preferences?,"Go to the ""Profile"" section, update your dietary preferences, and save the changes. This will help us recommend suitable meals."
Can I order for a large group?,"Yes, you can place bulk orders for large groups. Contact the chef directly through the app to discuss your requirements."
How do I check my order status?,"Go to the ""My Orders"" section in the app to view the status of your current and past orders."
What is the chef onboarding process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
How do I contact the support team?,"You can contact our 24/7 support team through the in-app chatbot or email us at chullahofficial@gmail.com."
Can I order from multiple chefs in one order?,"Currently, each order is tied to a single chef. However, you can place separate orders from different chefs."
How do I check my wallet balance?,"Go to the ""Chullah Wallet"" section in the app to view your current balance and transaction history."
What if my order is delayed?,"If your order is delayed, you will receive real-time updates. You can also contact the chef or our support team for assistance."
How do I log out of the app?,"Go to the ""Account Settings"" section and select ""Log Out."" You can log back in anytime using your credentials."
Can I order from another city?,"Currently, Chullah operates in specific cities. Check the app to see if your city is supported."
How do I change my phone number?,"Go to the ""Profile"" section, update your phone number, and verify it with the OTP sent to your new number."
What is the chef rating system?,"The chef rating system allows users to rate chefs based on their meals and service. This helps maintain quality and trust on the platform."
How do I unsubscribe from notifications?,"Go to the ""Notification Settings"" section in the app and toggle off the notifications you no longer wish to receive."
Can I order for someone else?,"Yes, you can place an order for someone else by entering their delivery address and contact details during checkout."
How do I check my rewards points?,"Go to the ""Rewards"" section in the app to view your points and redeem them for discounts or free meals."
What is the chef approval process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
How do I contact the admin?,"You can contact the admin through the ""Contact Us"" section in the app or email chullahofficial@gmail.com."
Can I order without creating an account?,"No, you need to create an account to place an order. This ensures a secure and personalized experience."
How do I change my email address?,"Go to the ""Profile"" section, update your email address, and verify it with the OTP sent to your new email."
What is the minimum order amount?,"The minimum order amount varies by chef. You'll see the minimum order requirement on the chef's profile."
How do I apply for a refund?,"Go to the ""My Orders"" section, select the order, and use the ""Request Refund"" option. Our support team will review your request."
Can I order from a specific chef again?,"Yes, you can view your past orders and reorder from the same chef by going to the ""My Orders"" section."
How do I check my subscription status?,"Go to the ""Premium Membership"" section in the app to view your subscription status and renewal date."
What is the chef cancellation policy?,"Chefs can cancel an order only if they are unable to prepare the meal. In such cases, the user will be notified, and a full refund will be issued."
How do I update my dietary preferences?,"Go to the ""Profile"" section, update your dietary preferences, and save the changes. This will help us recommend suitable meals."
Can I order for a large group?,"Yes, you can place bulk orders for large groups. Contact the chef directly through the app to discuss your requirements."
How do I check my order status?,"Go to the ""My Orders"" section in the app to view the status of your current and past orders."
What is the chef onboarding process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
How do I contact the support team?,"You can contact our 24/7 support team through the in-app chatbot or email us at  chullahofficial@gmail.com."
Can I order from multiple chefs in one order?,"Currently, each order is tied to a single chef. However, you can place separate orders from different chefs."
How do I check my wallet balance?,"Go to the ""Chullah Wallet"" section in the app to view your current balance and transaction history."
What if my order is delayed?,"If your order is delayed, you will receive real-time updates. You can also contact the chef or our support team for assistance."
How do I log out of the app?,"Go to the ""Account Settings"" section and select ""Log Out."" You can log back in anytime using your credentials."
Can I order from another city?,"Currently, Chullah operates in specific cities. Check the app to see if your city is supported."
How do I change my phone number?,"Go to the ""Profile"" section, update your phone number, and verify it with the OTP sent to your new number."
What is the chef rating system?,"The chef rating system allows users to rate chefs based on their meals and service. This helps maintain quality and trust on the platform."
How do I unsubscribe from notifications?,"Go to the ""Notification Settings"" section in the app and toggle off the notifications you no longer wish to receive."
Can I order for someone else?,"Yes, you can place an order for someone else by entering their delivery address and contact details during checkout."
How do I check my rewards points?,"Go to the ""Rewards"" section in the app to view your points and redeem them for discounts or free meals."
What is the chef approval process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
How do I contact the admin?,"You can contact the admin through the ""Contact Us"" section in the app or email admin@chullah.com."
Can I order without creating an account?,"No, you need to create an account to place an order. This ensures a secure and personalized experience."
How do I change my email address?,"Go to the ""Profile"" section, update your email address, and verify it with the OTP sent to your new email."
What is the minimum order amount?,"The minimum order amount varies by chef. You'll see the minimum order requirement on the chef's profile."
How do I apply for a refund?,"Go to the ""My Orders"" section, select the order, and use the ""Request Refund"" option. Our support team will review your request."
Can I order from a specific chef again?,"Yes, you can view your past orders and reorder from the same chef by going to the ""My Orders"" section."
How do I check my subscription status?,"Go to the ""Premium Membership"" section in the app to view your subscription status and renewal date."
What is the chef cancellation policy?,"Chefs can cancel an order only if they are unable to prepare the meal. In such cases, the user will be notified, and a full refund will be issued."
How do I update my dietary preferences?,"Go to the ""Profile"" section, update your dietary preferences, and save the changes. This will help us recommend suitable meals."
Can I order for a large group?,"Yes, you can place bulk orders for large groups. Contact the chef directly through the app to discuss your requirements."
How do I check my order status?,"Go to the ""My Orders"" section in the app to view the status of your current and past orders."
What is the chef onboarding process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
Can I order from multiple chefs in one order?,"Currently, each order is tied to a single chef. However, you can place separate orders from different chefs."
How do I check my wallet balance?,"Go to the ""Chullah Wallet"" section in the app to view your current balance and transaction history."
What if my order is delayed?,"If your order is delayed, you will receive real-time updates. You can also contact the chef or our support team for assistance."
How do I log out of the app?,"Go to the ""Account Settings"" section and select ""Log Out."" You can log back in anytime using your credentials."
Hello,"Hi! Welcome to Chullah, your home-cooked meal assistant. How can I help you today?"
Hi,Hello! How can I assist you with Chullah?
Good morning,"Good morning! What can I do for you today?"
How do I order a meal?,"You can browse available chefs in your area, select your favorite meal, and place an order through the app."
Can I schedule a meal for later?,"Yes, you can schedule your meal by selecting a preferred date and time during the ordering process."
Are there vegetarian options?,"Absolutely! We have a variety of vegetarian meals available. You can filter for vegetarian options while browsing."
How do I check my order status?,"You can check your order status under the ""My Orders"" section in the app. You'll see real-time updates there."
What payment methods do you accept?,"We accept Easypaisa, JazzCash, and credit/debit cards."
Is cash on delivery available?,"Currently, we only support digital payments for a seamless experience."
How do I get a refund?,"Refunds can be requested through the app in the ""My Orders"" section if the meal doesn’t meet expectations."
How long does delivery take?,"Delivery times vary by location but are typically within 30-60 minutes after the order is prepared."
Can I track my delivery?,"Yes, you can track your delivery in real-time under the ""My Orders"" section."
What if my meal is late?,"If your meal is delayed, please contact support through the app. We’ll address it immediately."
Can I chat with the chef?,"Yes, you can send messages to the chef for custom requests or clarifications about your meal."
How do I know if a chef is good?,"You can check the chef's ratings, reviews, and popular dishes on their profile."
Can I favorite a chef?,"Yes, you can add a chef to your favorites for quick access in the future."
How do I create an account?,"Tap on ""Sign Up,"" enter your details, and verify your email to create an account."
How do I reset my password?,"Go to the login screen, tap ""Forgot Password,"" and follow the instructions to reset your password."
Can I change my delivery address?,"Yes, you can update your delivery address in the ""Profile"" section of the app."
How do I leave feedback?,"After receiving your meal, go to ""My Orders"" and select the order to leave a review for the chef and delivery service."
How can I contact support?,"You can contact support through the ""Help"" section in the app or by using our AI chatbot."
The app isn’t working. What should I do?,"Try restarting the app or updating it to the latest version. If the issue persists, contact support."
Can you recommend a meal?,"Sure! Based on your preferences, I recommend trying the ""Chicken Biryani"" from Chef Ayesha. It's highly rated!"
What are the best dishes nearby?,"Popular dishes in your area include ""Karahi Chicken"" by Chef Ahmed and ""Vegetarian Pulao"" by Chef Zara."
Can I get meals tailored to my diet?,"Yes, you can set dietary preferences in your profile to get customized meal recommendations."
What is Chullah?,"Chullah is a mobile app connecting you with local home chefs for fresh, home-cooked meals delivered to your table."
Is Chullah available in my area?,"Chullah is currently operating in select cities. Please enter your location in the app to check availability."
Can I become a chef on Chullah?,"Yes, if you’re interested in becoming a chef, go to the ""Become a Chef"" section in the app and fill out the application form."
What are your working hours?,"Chullah operates 24/7, but chef availability may vary. You can check operational hours on their profiles."
Is there a subscription service?,"We offer meal plans for daily, weekly, or monthly subscriptions. Check the ""Meal Plans"" section for more details."
What is Chullah?,"Chullah is a mobile app that connects you with local home chefs who prepare nutritious, home-cooked meals. You can order meals for delivery or takeaway and enjoy healthy, homemade food."
How do I register as a chef?,"To register as a chef, download the Chullah app, go to the ""Chef Registration"" section, and fill out the required details. Once approved, you can start listing your meals and earning income."
How do I place an order?,"To place an order, browse the available meals in the app, select the dish you like, and proceed to checkout. You can choose delivery or takeaway and pay securely through the app."
What payment methods are accepted?,"Chullah accepts payments through Easypaisa, JazzCash, and other secure online payment gateways."
Can I track my order?,"Yes, you can track your order in real-time using the ""Order Tracking"" feature in the app. You'll also receive notifications about your order status."
Do you offer gluten-free meals?,"Yes, many of our home chefs offer gluten-free meals. You can filter your search to find gluten-free options."
How do I contact a chef?,"You can contact a chef directly through the in-app messaging feature. Just go to the chef's profile and send them a message."
What if I have a food allergy?,"Please check the meal description for allergen information. You can also contact the chef directly through the app to confirm if the meal is safe for you."
How do I become a rider for Chullah?,"To become a rider, go to the ""Rider Registration"" section in the app, fill out the required details, and submit your application. Once approved, you can start delivering meals."
Can I cancel my order?,"Yes, you can cancel your order before it is prepared by the chef. Go to the ""My Orders"" section and select the order you want to cancel."
What are your delivery charges?,"Delivery charges vary depending on your location and the distance from the chef. You'll see the exact delivery fee at checkout."
How do I rate a meal?,"After receiving your order, go to the ""My Orders"" section, select the meal, and leave a rating and review. Your feedback helps us improve!"
Do you offer discounts?,"Yes, we offer discounts and promotions from time to time. Check the ""Offers"" section in the app for the latest deals."
How do I reset my password?,"Go to the ""Forgot Password"" option on the login screen, enter your registered email, and follow the instructions to reset your password."
What is the refund policy?,"If you are unsatisfied with your order, please contact our support team within 24 hours. We will review your case and process a refund if applicable."
Can I order in bulk for an event?,"Yes, you can place bulk orders for events. Contact the chef directly through the app to discuss your requirements."
How do I update my profile?,"Go to the ""Profile"" section in the app, edit your details, and save the changes."
What is the AI meal recommendation system?,"Our AI meal recommendation system suggests meals based on your past orders, dietary preferences, and location. It helps you discover new dishes you might like."
Is my data secure?,"Yes, we use advanced encryption and security measures to protect your personal and payment information."
Can I change my delivery address?,"Yes, you can update your delivery address in the ""Profile"" section before placing an order."
How do I delete my account?,"To delete your account, go to the ""Account Settings"" section, select ""Delete Account,"" and confirm your decision. Note that this action is irreversible."
What are the hygiene standards for chefs?,"All chefs on Chullah are required to follow strict hygiene standards. They must prepare meals in clean, sanitized kitchens and use fresh ingredients."
How do I apply for a job as a chef?,"To apply as a chef, download the Chullah app, go to the ""Chef Registration"" section, and submit your application. Once approved, you can start listing your meals."
Can I order from multiple chefs in one order?,"Currently, each order is tied to a single chef. However, you can place separate orders from different chefs."
How do I report an issue with my order?,"If you have an issue with your order, go to the ""My Orders"" section, select the order, and use the ""Report Issue"" option. Our support team will assist you."
What is the Chullah Wallet?,"The Chullah Wallet is a feature that allows you to store funds for quick and easy payments. You can top up your wallet using Easypaisa, JazzCash, or other payment methods."
How do I check my order history?,"Go to the ""My Orders"" section in the app to view your order history, including past and current orders."
Can I schedule an order for later?,"Yes, you can schedule an order for a specific date and time during checkout."
How do I become a premium user?,"Premium membership offers exclusive benefits like free delivery and discounts. Go to the ""Premium Membership"" section in the app to subscribe."
What is the cancellation policy for chefs?,"Chefs can cancel an order only if they are unable to prepare the meal. In such cases, the user will be notified, and a full refund will be issued."
How do I update my payment method?,"Go to the ""Payment Methods"" section in your profile, add or update your payment details, and save the changes."
Can I gift a meal to someone?,"Yes, you can gift a meal by placing an order and entering the recipient's address during checkout."
How do I check my wallet balance?,"Go to the ""Chullah Wallet"" section in the app to view your current balance and transaction history."
What if my order is delayed?,"If your order is delayed, you will receive real-time updates. You can also contact the chef or our support team for assistance."
How do I log out of the app?,"Go to the ""Account Settings"" section and select ""Log Out."" You can log back in anytime using your credentials."
Can I order from another city?,"Currently, Chullah operates in specific cities. Check the app to see if your city is supported."
How do I change my phone number?,"Go to the ""Profile"" section, update your phone number, and verify it with the OTP sent to your new number."
What is the chef rating system?,The chef rating system allows users to rate chefs based on their meals and service. This helps maintain quality and trust on the platform.
How do I unsubscribe from notifications?,"Go to the ""Notification Settings"" section in the app and toggle off the notifications you no longer wish to receive."
Can I order for someone else?,"Yes, you can place an order for someone else by entering their delivery address and contact details during checkout."
How do I check my rewards points?,"Go to the ""Rewards"" section in the app to view your points and redeem them for discounts or free meals."
What is the chef approval process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
How do I contact the admin?,"You can contact the admin through the ""Contact Us"" section in the app or email admin@chullah.com."
Can I order without creating an account?,"No, you need to create an account to place an order. This ensures a secure and personalized experience."
How do I change my email address?,"Go to the ""Profile"" section, update your email address, and verify it with the OTP sent to your new email."
What is the minimum order amount?,The minimum order amount varies by chef. You'll see the minimum order requirement on the chef's profile.
How do I apply for a refund?,"Go to the ""My Orders"" section, select the order, and use the ""Request Refund"" option. Our support team will review your request."
Can I order from a specific chef again?,"Yes, you can view your past orders and reorder from the same chef by going to the ""My Orders"" section."
How do I check my subscription status?,"Go to the ""Premium Membership"" section in the app to view your subscription status and renewal date."
What is the chef cancellation policy?,"Chefs can cancel an order only if they are unable to prepare the meal. In such cases, the user will be notified, and a full refund will be issued."
How do I update my dietary preferences?,"Go to the ""Profile"" section, update your dietary preferences, and save the changes. This will help us recommend suitable meals."
Can I order for a large group?,"Yes, you can place bulk orders for large groups. Contact the chef directly through the app to discuss your requirements."
How do I check my order status?,"Go to the ""My Orders"" section in the app to view the status of your current and past orders."
What is the chef onboarding process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
How do I contact the support team?,You can contact our 24/7 support team through the in-app chatbot or email us at support@chullah.com.
Can I order from multiple chefs in one order?,"Currently, each order is tied to a single chef. However, you can place separate orders from different chefs."
How do I check my wallet balance?,"Go to the ""Chullah Wallet"" section in the app to view your current balance and transaction history."
What if my order is delayed?,"If your order is delayed, you will receive real-time updates. You can also contact the chef or our support team for assistance."
How do I log out of the app?,"Go to the ""Account Settings"" section and select ""Log Out."" You can log back in anytime using your credentials."
Can I order from another city?,"Currently, Chullah operates in specific cities. Check the app to see if your city is supported."
How do I change my phone number?,"Go to the ""Profile"" section, update your phone number, and verify it with the OTP sent to your new number."
What is the chef rating system?,The chef rating system allows users to rate chefs based on their meals and service. This helps maintain quality and trust on the platform.
How do I unsubscribe from notifications?,"Go to the ""Notification Settings"" section in the app and toggle off the notifications you no longer wish to receive."
Can I order for someone else?,"Yes, you can place an order for someone else by entering their delivery address and contact details during checkout."
How do I check my rewards points?,"Go to the ""Rewards"" section in the app to view your points and redeem them for discounts or free meals."
What is the chef approval process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
How do I contact the admin?,"You can contact the admin through the ""Contact Us"" section in the app or email admin@chullah.com."
Can I order without creating an account?,"No, you need to create an account to place an order. This ensures a secure and personalized experience."
How do I change my email address?,"Go to the ""Profile"" section, update your email address, and verify it with the OTP sent to your new email."
What is the minimum order amount?,The minimum order amount varies by chef. You'll see the minimum order requirement on the chef's profile.
How do I apply for a refund?,"Go to the ""My Orders"" section, select the order, and use the ""Request Refund"" option. Our support team will review your request."
Can I order from a specific chef again?,"Yes, you can view your past orders and reorder from the same chef by going to the ""My Orders"" section."
How do I check my subscription status?,"Go to the ""Premium Membership"" section in the app to view your subscription status and renewal date."
What is the chef cancellation policy?,"Chefs can cancel an order only if they are unable to prepare the meal. In such cases, the user will be notified, and a full refund will be issued."
How do I update my dietary preferences?,"Go to the ""Profile"" section, update your dietary preferences, and save the changes. This will help us recommend suitable meals."
Can I order for a large group?,"Yes, you can place bulk orders for large groups. Contact the chef directly through the app to discuss your requirements."
How do I check my order status?,"Go to the ""My Orders"" section in the app to view the status of your current and past orders."
What is the chef onboarding process?,"Chefs must submit their details, including kitchen hygiene certificates, for approval. Our team reviews the application before allowing them to list meals."
How do I contact the support team?,You can contact our 24/7 support team through the in-app chatbot or email us at chullahofficial@gmmail.com.
Can I order from multiple chefs in one order?,"Currently, each order is tied to a single chef. However, you can place separate orders from different chefs."
How do I check my wallet balance?,"Go to the ""Chullah Wallet"" section in the app to view your current balance and transaction history."
What if my order is delayed?,"If your order is delayed, you will receive real-time updates. You can also contact the chef or our support team for assistance."
How do I log out of the app?,"Go to the ""Account Settings"" section and select ""Log Out."" You can log back in anytime using your credentials."
Hello,"Hi! Welcome to Chullah, your home-cooked meal assistant. How can I help you today?"
Hi,Hello! How can I assist you with Chullah?
Good morning,Good morning! What can I do for you today?
How do I order a meal?,"You can browse available chefs in your area, select your favorite meal, and place an order through the app."
Can I schedule a meal for later?,"Yes, you can schedule your meal by selecting a preferred date and time during the ordering process."
Are there vegetarian options?,Absolutely! We have a variety of vegetarian meals available. You can filter for vegetarian options while browsing.
How do I check my order status?,"You can check your order status under the ""My Orders"" section in the app. You'll see real-time updates there."
What payment methods do you accept?,"We accept Easypaisa, JazzCash, and credit/debit cards."
Is cash on delivery available?,"Currently, we only support digital payments for a seamless experience."
How do I get a refund?,"Refunds can be requested through the app in the ""My Orders"" section if the meal doesn’t meet expectations."
How long does delivery take?,Delivery times vary by location but are typically within 30-60 minutes after the order is prepared.
Can I track my delivery?,"Yes, you can track your delivery in real-time under the ""My Orders"" section."
What if my meal is late?,"If your meal is delayed, please contact support through the app. We’ll address it immediately."
Can I chat with the chef?,"Yes, you can send messages to the chef for custom requests or clarifications about your meal."
How do I know if a chef is good?,"You can check the chef's ratings, reviews, and popular dishes on their profile."
Can I favorite a chef?,"Yes, you can add a chef to your favorites for quick access in the future."
How do I create an account?,"Tap on ""Sign Up,"" enter your details, and verify your email to create an account."
How do I reset my password?,"Go to the login screen, tap ""Forgot Password,"" and follow the instructions to reset your password."
Can I change my delivery address?,"Yes, you can update your delivery address in the ""Profile"" section of the app."
How do I leave feedback?,"After receiving your meal, go to ""My Orders"" and select the order to leave a review for the chef and delivery service."
How can I contact support?,"You can contact support through the ""Help"" section in the app or by using our AI chatbot."
The app isn’t working. What should I do?,"Try restarting the app or updating it to the latest version. If the issue persists, contact support."
Can you recommend a meal?,"Sure! Based on your preferences, I recommend trying the ""Chicken Biryani"" from Chef Ayesha. It's highly rated!"
What are the best dishes nearby?,"Popular dishes in your area include ""Karahi Chicken"" by Chef Ahmed and ""Vegetarian Pulao"" by Chef Zara."
Can I get meals tailored to my diet?,"Yes, you can set dietary preferences in your profile to get customized meal recommendations."
What is Chullah?,"Chullah is a mobile app connecting you with local home chefs for fresh, home-cooked meals delivered to your table."
Is Chullah available in my area?,Chullah is currently operating in select cities. Please enter your location in the app to check availability.
Can I become a chef on Chullah?,"Yes, if you’re interested in becoming a chef, go to the ""Become a Chef"" section in the app and fill out the application form."
What are your working hours?,"Chullah operates 24/7, but chef availability may vary. You can check operational hours on their profiles."
Is there a subscription service?,"We offer meal plans for daily, weekly, or monthly subscriptions. Check the ""Meal Plans"" section for more details."
Can I change the delivery time after placing an order?,"Yes, you can change the delivery time if the chef has not started preparing your meal. Contact the chef directly through the app to request a change."
How do I know if a meal is spicy?,"You can check the meal description for details on spice levels. If unsure, you can message the chef directly through the app to confirm."
Can I request a custom meal?,"Yes, you can request a custom meal by contacting the chef directly through the in-app messaging feature. Discuss your requirements, and the chef will let you know if they can accommodate your request."
What if I receive the wrong order?,"If you receive the wrong order, please contact our support team immediately through the app. We will assist you in resolving the issue and ensure you receive the correct meal."
How do I know if a chef is certified?,"All chefs on Chullah are required to submit their certifications, including kitchen hygiene certificates, during the onboarding process. You can view a chef's certifications on their profile."
Can I order breakfast meals?,"Yes, many chefs offer breakfast options. You can filter your search by meal type to find breakfast meals available in your area."
How do I know if a meal is halal?,"You can check the meal description for halal certification details. If unsure, you can message the chef directly through the app to confirm."
Can I order desserts?,"Yes, many chefs offer desserts. You can filter your search by meal type to find desserts available in your area."
How do I know if a meal is vegan?,"You can check the meal description for vegan labels. If unsure, you can message the chef directly through the app to confirm."
Can I order for office lunch?,"Yes, you can place bulk orders for office lunches. Contact the chef directly through the app to discuss your requirements and arrange the order."
How do I know if a meal is low-calorie?,"You can check the meal description for calorie information. If unsure, you can message the chef directly through the app to confirm."
Can I order for a party?,"Yes, you can place bulk orders for parties. Contact the chef directly through the app to discuss your requirements and arrange the order."
How do I know if a meal is organic?,"You can check the meal description for organic labels. If unsure, you can message the chef directly through the app to confirm."
Can I order for a family gathering?,"Yes, you can place bulk orders for family gatherings. Contact the chef directly through the app to discuss your requirements and arrange the order."
How do I know if a meal is keto-friendly?,"You can check the meal description for keto-friendly labels. If unsure, you can message the chef directly through the app to confirm."
